Date,Team 1,Team 2,FT,HT
1993-08-14,Arsenal,Coventry,0-3,
1993-08-14,Aston Villa,QPR,4-1,
1993-08-14,Chelsea,Blackburn,1-2,
1993-08-14,Liverpool,Sheffield Weds,2-0,
1993-08-14,Man City,Leeds,1-1,
1993-08-14,Newcastle,Tottenham,0-1,
1993-08-14,Oldham,Ipswich,0-3,
1993-08-14,Sheffield United,Swindon,3-1,
1993-08-14,Southampton,Everton,0-2,
1993-08-14,West Ham,Wimbledon,0-2,
1993-08-15,Norwich,Man United,0-2,
1993-08-16,Tottenham,Arsenal,0-1,
1993-08-17,Everton,Man City,1-0,
1993-08-17,Ipswich,Southampton,1-0,
1993-08-17,Leeds,West Ham,1-0,
1993-08-17,Wimbledon,Chelsea,1-1,
1993-08-18,Blackburn,Norwich,2-3,
1993-08-18,Coventry,Newcastle,2-1,
1993-08-18,Man United,Sheffield United,3-0,
1993-08-18,QPR,Liverpool,1-3,
1993-08-18,Sheffield Weds,Aston Villa,0-0,
1993-08-18,Swindon,Oldham,0-1,
1993-08-21,Blackburn,Oldham,1-0,
1993-08-21,Coventry,West Ham,1-1,
1993-08-21,Everton,Sheffield United,4-2,
1993-08-21,Ipswich,Chelsea,1-0,
1993-08-21,Leeds,Norwich,0-4,
1993-08-21,Man United,Newcastle,1-1,
1993-08-21,QPR,Southampton,2-1,
1993-08-21,Sheffield Weds,Arsenal,0-1,
1993-08-21,Tottenham,Man City,1-0,
1993-08-21,Wimbledon,Aston Villa,2-2,
1993-08-22,Swindon,Liverpool,0-5,
1993-08-23,Aston Villa,Man United,1-2,
1993-08-24,Arsenal,Leeds,2-1,
1993-08-24,Man City,Blackburn,0-2,
1993-08-24,Oldham,Coventry,3-3,
1993-08-24,Sheffield United,Wimbledon,2-1,
1993-08-25,Chelsea,QPR,2-0,
1993-08-25,Liverpool,Tottenham,1-2,
1993-08-25,Newcastle,Everton,1-0,
1993-08-25,Norwich,Ipswich,1-0,
1993-08-25,Southampton,Swindon,5-1,
