Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 10 Aug 2018 (W32),Manchester United FC (1),2-1,1-0,Leicester City FC (1)
?,(Sat) 11 Aug 2018 (W32),AFC Bournemouth (1),2-0,1-0,Cardiff City FC (1)
?,(Sat) 11 Aug 2018 (W32),Fulham FC (1),0-2,0-1,Crystal Palace FC (1)
?,(Sat) 11 Aug 2018 (W32),Huddersfield Town AFC (1),0-3,0-2,Chelsea FC (1)
?,(Sat) 11 Aug 2018 (W32),Newcastle United FC (1),1-2,1-2,Tottenham Hotspur FC (1)
?,(Sat) 11 Aug 2018 (W32),Watford FC (1),2-0,1-0,Brighton & Hove Albion FC (1)
?,(Sat) 11 Aug 2018 (W32),Wolverhampton Wanderers FC (1),2-2,1-1,Everton FC (1)
?,(Sun) 12 Aug 2018 (W32),Arsenal FC (1),0-2,0-1,Manchester City FC (1)
?,(Sun) 12 Aug 2018 (W32),Liverpool FC (1),4-0,2-0,West Ham United FC (1)
?,(Sun) 12 Aug 2018 (W32),Southampton FC (1),0-0,0-0,Burnley FC (1)
?,(Sat) 18 Aug 2018 (W33),Cardiff City FC (2),0-0,0-0,Newcastle United FC (2)
?,(Sat) 18 Aug 2018 (W33),Chelsea FC (2),3-2,2-2,Arsenal FC (2)
?,(Sat) 18 Aug 2018 (W33),Everton FC (2),2-1,2-0,Southampton FC (2)
?,(Sat) 18 Aug 2018 (W33),Leicester City FC (2),2-0,2-0,Wolverhampton Wanderers FC (2)
?,(Sat) 18 Aug 2018 (W33),Tottenham Hotspur FC (2),3-1,1-0,Fulham FC (2)
?,(Sat) 18 Aug 2018 (W33),West Ham United FC (2),1-2,1-0,AFC Bournemouth (2)
?,(Sun) 19 Aug 2018 (W33),Brighton & Hove Albion FC (2),3-2,3-1,Manchester United FC (2)
?,(Sun) 19 Aug 2018 (W33),Burnley FC (2),1-3,1-1,Watford FC (2)
?,(Sun) 19 Aug 2018 (W33),Manchester City FC (2),6-1,3-1,Huddersfield Town AFC (2)
?,(Mon) 20 Aug 2018 (W34),Crystal Palace FC (2),0-2,0-1,Liverpool FC (2)
?,(Sat) 25 Aug 2018 (W34),Arsenal FC (3),3-1,1-1,West Ham United FC (3)
?,(Sat) 25 Aug 2018 (W34),AFC Bournemouth (3),2-2,0-0,Everton FC (3)
?,(Sat) 25 Aug 2018 (W34),Huddersfield Town AFC (3),0-0,0-0,Cardiff City FC (3)
?,(Sat) 25 Aug 2018 (W34),Liverpool FC (3),1-0,1-0,Brighton & Hove Albion FC (3)
?,(Sat) 25 Aug 2018 (W34),Southampton FC (3),1-2,0-0,Leicester City FC (3)
?,(Sat) 25 Aug 2018 (W34),Wolverhampton Wanderers FC (3),1-1,0-0,Manchester City FC (3)
?,(Sun) 26 Aug 2018 (W34),Fulham FC (3),4-2,3-2,Burnley FC (3)
