Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 10 Aug 2013 (W32),Barnet FC (1),3-0,0-0,Chester FC (1)
?,(Sat) 10 Aug 2013 (W32),Dartford FC (1),1-0,1-0,Alfreton Town FC (1)
?,(Sat) 10 Aug 2013 (W32),Forest Green Rovers FC (1),8-0,4-0,Hyde United FC (1)
?,(Sat) 10 Aug 2013 (W32),Grimsby Town FC (1),1-1,0-0,Aldershot Town FC (1)
?,(Sat) 10 Aug 2013 (W32),Hereford FC (1),1-1,0-1,Braintree Town FC (1)
?,(Sat) 10 Aug 2013 (W32),Kidderminster Harriers FC (1),3-1,1-1,Gateshead FC (1)
?,(Sat) 10 Aug 2013 (W32),Macclesfield Town FC (1),0-1,0-1,Nuneaton Borough FC (1)
?,(Sat) 10 Aug 2013 (W32),Salisbury City FC (1),0-1,0-1,Tamworth FC (1)
?,(Sat) 10 Aug 2013 (W32),Southport FC (1),1-0,1-0,Luton Town FC (1)
?,(Sat) 10 Aug 2013 (W32),Woking FC (1),0-0,0-0,Lincoln City FC (1)
?,(Sat) 10 Aug 2013 (W32),Wrexham AFC (1),2-1,1-1,Welling United FC (1)
?,(Sun) 11 Aug 2013 (W32),Cambridge United FC (1),5-1,2-1,FC Halifax Town (1)
?,(Tue) 13 Aug 2013 (W33),Aldershot Town FC (2),3-0,1-0,Dartford FC (2)
?,(Tue) 13 Aug 2013 (W33),Alfreton Town FC (2),3-1,1-0,Kidderminster Harriers FC (2)
?,(Tue) 13 Aug 2013 (W33),Braintree Town FC (2),2-0,2-0,Woking FC (2)
?,(Tue) 13 Aug 2013 (W33),Chester FC (2),0-2,0-1,Hereford FC (2)
?,(Tue) 13 Aug 2013 (W33),Gateshead FC (2),1-2,1-1,Grimsby Town FC (2)
?,(Tue) 13 Aug 2013 (W33),FC Halifax Town (2),3-2,3-1,Wrexham AFC (2)
?,(Tue) 13 Aug 2013 (W33),Hyde United FC (2),1-2,1-0,Southport FC (2)
?,(Tue) 13 Aug 2013 (W33),Lincoln City FC (2),1-0,1-0,Macclesfield Town FC (2)
